,Unnamed: 0,r_rlkep_bs,Tb7_rlkep_bs,Tb6_rlkep_bs,Texe_bs_rlkep,Texe_err_bs_rlkep,Ncol_bs_rlkep,Ncol_err_bs_rlkep,r_rlkep_bs_fix_r,Tb7_rlkep_bs_fix_r,Tb6_rlkep_bs_fix_r,Texe_bs_rlkep_fix_r,Texe_err_bs_rlkep_fix_r,Ncol_bs_rlkep_fix_r,Ncol_err_bs_rlkep_fix_r
20,20,-0.575761340344108,4.867513656616211,1.5182629823684692,46.95319043084592,"[17.814543505274834, 12.718595637821117]",9.964669811789709e+16,"[2.820099890555005e+16, 3.321035358341224e+16]",,,,,,,
21,21,-0.6405501528343485,4.285683155059815,3.620018482208252,19.37349115661884,"[10.858329878339749, 23.353976000977546]",1.5978884773559747e+17,"[3.930168101552874e+16, 3.2965412949258027e+19]",,,,,,,
22,22,-0.7169232715429221,6.660872936248779,4.388473987579346,37.453500939521206,"[15.685961237604701, 17.365117863695943]",2.075344825642124e+17,"[3.762737003158112e+16, 5.288452663926928e+16]",,,,,,,
23,23,-0.8078164656041628,7.893835544586182,5.186235427856445,38.4942463496013,"[14.832693362148028, 17.009740216141033]",2.5494205397987184e+17,"[4.309977549914675e+16, 5.698794375960061e+16]",,,,,,,
24,24,-0.9171580383161412,6.817468166351318,5.670854091644287,20.095936682361604,"[8.966393650788829, 18.454945875967546]",2.599154297635398e+17,"[5.101274113884115e+16, 3.470167750315503e+19]",,,,,,,
25,25,-1.0503005130420575,5.3647565841674805,4.605224609375,17.36484595241437,"[7.762100925133691, 19.296802532058578]",2.091852207991549e+17,"[4.905051017602752e+16, 5.67891791642148e+19]",,,,,,,
26,26,-1.2146883672898867,6.622636318206787,5.764500617980957,17.13841837568522,"[6.182869097635601, 16.119857786185328]",2.7190908115502736e+17,"[6.138647373690538e+16, 8.792618380115404e+19]",,,,,,,
27,27,-1.4209217319915426,6.788500785827637,5.364262104034424,24.59336622403206,"[13.230998704743772, 19.64541085556258]",2.384511040514285e+17,"[4.201037946864509e+16, 1.5977263460250355e+18]",,,,,,,
28,28,-1.6845090398107654,5.763072967529297,3.592409372329712,39.17520926691435,"[17.16390527690388, 17.426683930271864]",1.7322869995046234e+17,"[3.555712705273453e+16, 4.669763634553837e+16]",,,,,,,
29,29,-2.0288701211995988,4.705635070800781,2.3401544094085693,42.95206635439034,"[17.83945351890652, 15.320707124204745]",1.2231549481148486e+17,"[2.977374770737896e+16, 3.773510059108998e+16]",,,,,,,
30,30,-2.4907238838782693,4.73707914352417,2.6625235080718994,40.61365720125491,"[18.30333160742875, 16.529949052820108]",1.3120193007280382e+17,"[3.070151919161176e+16, 4.052569980515688e+16]",,,,,,,
31,31,-3.130298214101066,6.796604633331299,4.692533493041992,35.2060899340995,"[14.640376844051541, 18.625619921865514]",2.161889717557505e+17,"[3.726258333551907e+16, 5.361751281867757e+16]",,,,,,,
32,32,-4.052008370938264,4.287399291992188,2.517733573913574,39.06901169099611,"[19.081697509365586, 17.49632742708443]",1.205066868714432e+17,"[2.974482719056144e+16, 4.187768290142803e+16]",,,,,,,
33,33,-5.449943032986645,0.2551601231098175,0.0112904701381921,35.11287588936638,"[20.906822607654973, 20.114087799280817]",14467512863747.676,"[14363738941782.473, 1982197691913158.0]",,,,,,,
34,34,-7.719071691500926,-0.9230294227600098,-0.1448733806610107,34.42260149695474,"[19.971775580689297, 20.53646084698331]",9041680193122.572,"[8953473857855.338, 1020982347509183.6]",,,,,,,
